long,lat,order,hole,piece,group,id,total
-87.67486273,41.99799544,93,FALSE,1,1.1,1,34
-87.6750125,41.99799275,94,FALSE,1,1.1,1,34
-87.67516791,41.99798995,95,FALSE,1,1.1,1,34
-87.67517807,41.99798978,96,FALSE,1,1.1,1,34
-87.67523503,41.99798886,97,FALSE,1,1.1,1,34
-87.67529826,41.99798784,98,FALSE,1,1.1,1,34
-87.67529835,41.99798784,99,FALSE,1,1.1,1,34
-87.6754758,41.99798478,100,FALSE,1,1.1,1,34
-87.67553818,41.99798344,101,FALSE,1,1.1,1,34
-87.67571617,41.99797962,102,FALSE,1,1.1,1,34
-87.67601843,41.99797528,103,FALSE,1,1.1,1,34
-87.67640778,41.99796654,104,FALSE,1,1.1,1,34
-87.67668974,41.99796156,105,FALSE,1,1.1,1,34
-87.6768374,41.99795932,106,FALSE,1,1.1,1,34
-87.67690314,41.99810587,107,FALSE,1,1.1,1,34
-87.67709644,41.99853413,108,FALSE,1,1.1,1,34
-87.677253,41.99887212,109,FALSE,1,1.1,1,34
-87.67741295,41.99921716,110,FALSE,1,1.1,1,34
-87.67755734,41.99952923,111,FALSE,1,1.1,1,34
-87.67770565,41.99985012,112,FALSE,1,1.1,1,34
-87.67770631,41.99985153,113,FALSE,1,1.1,1,34
-87.67793807,42.00035727,114,FALSE,1,1.1,1,34
-87.67806845,42.00064176,115,FALSE,1,1.1,1,34
-87.67828852,42.00111946,116,FALSE,1,1.1,1,34
-87.67851719,42.00161692,117,FALSE,1,1.1,1,34
-87.67852921,42.00164305,118,FALSE,1,1.1,1,34
-87.67867766,42.0019661,119,FALSE,1,1.1,1,34
-87.67885692,42.00235556,120,FALSE,1,1.1,1,34
-87.67906233,42.00280079,121,FALSE,1,1.1,1,34
-87.67920677,42.00311382,122,FALSE,1,1.1,1,34
-87.67934173,42.0034067,123,FALSE,1,1.1,1,34
-87.67941523,42.00356618,124,FALSE,1,1.1,1,34
-87.67956739,42.00389413,125,FALSE,1,1.1,1,34
-87.67966669,42.00410657,126,FALSE,1,1.1,1,34
-87.67976716,42.00432153,127,FALSE,1,1.1,1,34
-87.67987101,42.00454373,128,FALSE,1,1.1,1,34
